Cartão;Modalidade de pagamento;Plano de recebimento;Taxa de serviço;Taxa de desconto;
Amex;Parcelado 4x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.46%;
Amex;Parcelado 5x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.46%;
Amex;Parcelado 6x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.46%;
Amex;Parcelado 7x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.70%;
Amex;Parcelado 8x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.70%;
Amex;Parcelado 9x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.70%;
Amex;Parcelado 10x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.70%;
Amex;Parcelado 11x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.70%;
Amex;Parcelado 12x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.70%;
Amex;Crédito parcelado emissor;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;3.30%;
